cv_nr,num_cols,alt_cols
1,1,1
2,2,2
3,2,2
4,2,2
5,2,3
6,2,2
7,2,2
8,1,1
9,2,2
10,2,2
11,1,1
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,1,1
20,2,2
21,2,2
22,1,1
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,1,1
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,3
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,3,3
49,2,2
50,2,2
51,2,2
52,2,3
53,1,1
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,1,1
62,2,2
63,2,2
64,2,1
65,2,2
66,2,2
67,2,2
68,1,1
69,2,2
70,2,2
71,2,3
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
79,2,2
80,2,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,1
94,2,2
95,2,2
96,2,2
97,2,2
98,1,1
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,1,1
105,2,2
106,2,2
107,2,2
108,2,2
109,1,1
110,2,2
111,2,2
112,2,2
113,1,1
114,1,1
115,2,2
116,2,2